Feature,Importance
src_ip,0.14014884091461052
dst_ip,0.14025586656666922
src_port,0.10371950435943653
dst_port,0.09004858347857077
protocol_TCP,0.10031235826153219
protocol_UDP,0.05789775271292417
protocol_nan,0.0
signature_INDICATOR-SHELLCODE x86 inc ebx NOOP,0.032072774312224106
signature_POLICY-OTHER Microsoft Windows Terminal server RDP attempt,0.0003975044669564474
signature_POLICY-OTHER Microsoft Windows Terminal server request attempt,0.00012757744716507456
signature_POLICY-OTHER MongoDB query attempt,0.0
signature_POLICY-OTHER TCP FIN packet and URG set attempt,0.00015558496011243116
signature_POLICY-OTHER TCP SYN packet and URG set attempt,0.0
signature_POLICY-OTHER TCP packet with urgent flag attempt,0.0015283871279718302
signature_PROTOCOL-SNMP AgentX/tcp request,0.0011725646549132595
signature_PROTOCOL-SNMP request tcp,0.004890652294906168
signature_PROTOCOL-SNMP request udp,0.011104341451550708
signature_PROTOCOL-SNMP trap tcp,0.003292858198931353
signature_PROTOCOL-SNMP trap udp,0.0
signature_SERVER-MAIL Multiple IMAP servers APPEND command buffer overflow attempt,0.0
signature_SERVER-OTHER Bay/Nortel Nautica Marlin,0.008240170488423026
signature_SERVER-OTHER CCProxy telnet ping buffer overflow attempt,0.000506529995513895
signature_SERVER-OTHER Novell eDirectory LDAP server buffer overflow attempt,2.855755775765223e-05
signature_nan,0.30409959074983073
