src_ip,dst_ip,src_port,dst_port,protocol,signature,label
192.168.1.2,34.117.188.166,36173,443,UDP,,0.0
34.117.188.166,192.168.1.2,443,36173,UDP,,0.0
192.168.1.2,151.101.192.81,56118,443,UDP,,0.0
151.101.192.81,192.168.1.2,443,56118,UDP,,0.0
192.168.1.12,192.168.1.2,33631,43710,UDP,INDICATOR-SHELLCODE x86 inc ebx NOOP,1.0
192.168.1.12,192.168.1.50,38364,161,TCP,PROTOCOL-SNMP request tcp,1.0
192.168.1.12,192.168.1.50,38364,162,TCP,PROTOCOL-SNMP trap tcp,1.0
192.168.1.12,192.168.1.50,38364,705,TCP,PROTOCOL-SNMP AgentX/tcp request,1.0
192.168.1.12,192.168.1.50,38366,705,TCP,PROTOCOL-SNMP AgentX/tcp request,1.0
192.168.1.12,192.168.1.50,48992,161,TCP,PROTOCOL-SNMP request tcp,1.0
192.168.1.12,192.168.1.50,52282,162,TCP,PROTOCOL-SNMP trap tcp,1.0
192.168.1.12,192.168.1.50,33458,389,TCP,SERVER-OTHER Novell eDirectory LDAP server buffer overflow attempt,1.0
192.168.1.12,192.168.1.50,33942,161,TCP,PROTOCOL-SNMP request tcp,1.0
192.168.1.12,192.168.1.50,58250,162,TCP,PROTOCOL-SNMP trap tcp,1.0
192.168.1.12,192.168.1.50,51486,3389,TCP,POLICY-OTHER Microsoft Windows Terminal server request attempt,1.0
192.168.1.12,192.168.1.50,56518,3389,TCP,POLICY-OTHER Microsoft Windows Terminal server RDP attempt,1.0
192.168.1.12,192.168.1.50,56518,3389,TCP,POLICY-OTHER Microsoft Windows Terminal server request attempt,1.0
192.168.1.12,192.168.1.50,34442,27017,TCP,POLICY-OTHER MongoDB query attempt,1.0
192.168.1.12,192.168.1.50,41686,162,TCP,PROTOCOL-SNMP trap tcp,1.0
192.168.1.12,192.168.1.50,41688,162,TCP,PROTOCOL-SNMP trap tcp,1.0
192.168.1.12,192.168.1.50,41702,162,TCP,PROTOCOL-SNMP trap tcp,1.0
192.168.1.12,192.168.1.50,58564,161,TCP,PROTOCOL-SNMP request tcp,1.0
192.168.1.12,192.168.1.50,41712,162,TCP,PROTOCOL-SNMP trap tcp,1.0
192.168.1.12,192.168.1.50,36198,23,TCP,SERVER-OTHER CCProxy telnet ping buffer overflow attempt,1.0
192.168.1.12,192.168.1.50,41728,162,TCP,PROTOCOL-SNMP trap tcp,1.0
192.168.1.12,192.168.1.50,58574,161,TCP,PROTOCOL-SNMP request tcp,1.0
192.168.1.12,192.168.1.50,46844,143,TCP,SERVER-MAIL Multiple IMAP servers APPEND command buffer overflow attempt,1.0
192.168.1.12,192.168.1.50,36218,23,TCP,SERVER-OTHER CCProxy telnet ping buffer overflow attempt,1.0
192.168.1.12,192.168.1.50,58584,161,TCP,PROTOCOL-SNMP request tcp,1.0
192.168.1.12,192.168.1.50,58586,161,TCP,PROTOCOL-SNMP request tcp,1.0
192.168.1.12,192.168.1.50,36228,23,TCP,SERVER-OTHER CCProxy telnet ping buffer overflow attempt,1.0
192.168.1.12,192.168.1.50,58592,161,TCP,PROTOCOL-SNMP request tcp,1.0
192.168.1.12,192.168.1.50,36242,23,TCP,SERVER-OTHER CCProxy telnet ping buffer overflow attempt,1.0
192.168.1.12,192.168.1.50,37604,161,TCP,PROTOCOL-SNMP request tcp,1.0
192.168.1.12,192.168.1.50,37612,161,TCP,PROTOCOL-SNMP request tcp,1.0
192.168.1.12,192.168.1.50,40318,162,TCP,PROTOCOL-SNMP trap tcp,1.0
192.168.1.12,192.168.1.50,40324,162,TCP,PROTOCOL-SNMP trap tcp,1.0
192.168.1.12,192.168.1.2,53,161,UDP,PROTOCOL-SNMP request udp,1.0
192.168.1.12,192.168.1.2,53,161,UDP,SERVER-OTHER Bay/Nortel Nautica Marlin,1.0
192.168.1.12,192.168.1.2,53,162,UDP,PROTOCOL-SNMP trap udp,1.0
192.168.1.12,192.168.1.2,64016,162,TCP,PROTOCOL-SNMP trap tcp,1.0
192.168.1.12,192.168.1.2,64016,705,TCP,PROTOCOL-SNMP AgentX/tcp request,1.0
192.168.1.12,192.168.1.2,64018,705,TCP,PROTOCOL-SNMP AgentX/tcp request,1.0
192.168.1.12,192.168.1.2,64016,161,TCP,PROTOCOL-SNMP request tcp,1.0
192.168.1.12,192.168.1.2,33631,30391,UDP,INDICATOR-SHELLCODE x86 inc ebx NOOP,1.0
192.168.1.12,192.168.1.2,33433,8080,TCP,POLICY-OTHER TCP SYN packet and URG set attempt,1.0
192.168.1.12,192.168.1.2,33433,8080,TCP,POLICY-OTHER TCP FIN packet and URG set attempt,1.0
192.168.1.12,192.168.1.2,33433,8080,TCP,POLICY-OTHER TCP packet with urgent flag attempt,1.0
192.168.1.12,192.168.1.2,33437,21,TCP,POLICY-OTHER TCP FIN packet and URG set attempt,1.0
192.168.1.12,192.168.1.2,33437,21,TCP,POLICY-OTHER TCP packet with urgent flag attempt,1.0
