timestamp,protocol,src_ip,src_port,dst_ip,dst_port
2024-07-06 13:04:47.230763,UDP,192.168.1.2,36173,34.117.188.166,443
2024-07-06 13:04:47.243376,UDP,34.117.188.166,443,192.168.1.2,36173
2024-07-06 13:04:47.243387,UDP,34.117.188.166,443,192.168.1.2,36173
2024-07-06 13:04:47.243388,UDP,34.117.188.166,443,192.168.1.2,36173
2024-07-06 13:04:47.247140,UDP,192.168.1.2,36173,34.117.188.166,443
2024-07-06 13:04:47.313640,UDP,192.168.1.2,36173,34.117.188.166,443
2024-07-06 13:04:47.313662,UDP,192.168.1.2,36173,34.117.188.166,443
2024-07-06 13:04:47.323072,UDP,34.117.188.166,443,192.168.1.2,36173
2024-07-06 13:04:47.376627,UDP,192.168.1.2,36173,34.117.188.166,443
2024-07-06 13:04:47.376644,UDP,192.168.1.2,36173,34.117.188.166,443
2024-07-06 13:04:47.385583,UDP,34.117.188.166,443,192.168.1.2,36173
2024-07-06 13:04:47.431564,UDP,192.168.1.2,36173,34.117.188.166,443
2024-07-06 13:04:47.431589,UDP,192.168.1.2,36173,34.117.188.166,443
2024-07-06 13:04:47.434334,UDP,192.168.1.2,36173,34.117.188.166,443
2024-07-06 13:04:47.440822,UDP,34.117.188.166,443,192.168.1.2,36173
2024-07-06 13:04:47.440834,UDP,34.117.188.166,443,192.168.1.2,36173
2024-07-06 13:04:47.441222,UDP,192.168.1.2,36173,34.117.188.166,443
2024-07-06 13:04:47.443517,UDP,34.117.188.166,443,192.168.1.2,36173
2024-07-06 13:04:47.466789,UDP,192.168.1.2,36173,34.117.188.166,443
2024-07-06 13:04:47.578658,UDP,34.117.188.166,443,192.168.1.2,36173
2024-07-06 13:04:47.578673,UDP,34.117.188.166,443,192.168.1.2,36173
2024-07-06 13:04:47.578676,UDP,34.117.188.166,443,192.168.1.2,36173
2024-07-06 13:04:47.580369,UDP,192.168.1.2,36173,34.117.188.166,443
2024-07-06 13:04:47.615962,UDP,34.117.188.166,443,192.168.1.2,36173
2024-07-06 13:04:51.303315,UDP,192.168.1.2,56118,151.101.192.81,443
2024-07-06 13:04:51.312034,UDP,151.101.192.81,443,192.168.1.2,56118
2024-07-06 13:04:51.312046,UDP,151.101.192.81,443,192.168.1.2,56118
2024-07-06 13:04:51.312048,UDP,151.101.192.81,443,192.168.1.2,56118
2024-07-06 13:04:51.312049,UDP,151.101.192.81,443,192.168.1.2,56118
2024-07-06 13:04:51.313221,UDP,151.101.192.81,443,192.168.1.2,56118
2024-07-06 13:04:51.315307,UDP,192.168.1.2,56118,151.101.192.81,443
2024-07-06 13:04:51.322863,UDP,192.168.1.2,56118,151.101.192.81,443
2024-07-06 13:04:51.322887,UDP,192.168.1.2,56118,151.101.192.81,443
2024-07-06 13:04:51.330037,UDP,151.101.192.81,443,192.168.1.2,56118
2024-07-06 13:04:51.369469,UDP,192.168.1.2,56118,151.101.192.81,443
